id,X,Y,Year,Operator
HV249,342480.303,6370609.56,2004,Odgers
HV251,344559.114,6369883.83,2004,Odgers
HV252,338408.243,6369282.94,2004,Odgers
HV253,337727.901,6377087.45,2004,Odgers
HV254,339613.515,6367677.76,2004,Odgers
HV256,346079.964,6370687.23,2004,Odgers
HV257,341005.063,6371182.66,2004,Odgers
HV259,341965.394,6378293.69,2004,Odgers
HV260,342830.665,6371789.61,2004,Odgers
HV261,338804.508,6367784.39,2004,Odgers
HV262,342389.057,6368574.11,2004,Odgers
HV263,337029.59,6381484.54,2004,Odgers
HV264,342509.513,6378092.72,2004,Odgers
HV265,338430.837,6373986.88,2004,Odgers
HV266,337982.889,6371981.02,2004,Odgers
HV267,341563.134,6372781.98,2004,Odgers
HV268,346477.4,6377388.54,2004,Odgers
HV269,343230.418,6380885.57,2004,Odgers
HV270,349211.454,6377898.44,2004,Odgers
HV271,343425.433,6378091.68,2004,Odgers
HV272,343896.412,6374195.32,2004,Odgers
HV273,342530.456,6371992.23,2004,Odgers
HV275,347278.014,6379881.73,2004,Odgers
HV276,334912.337,6375483.86,2004,Odgers
HV277,337559.599,6381590.81,2004,Odgers
HV278,343877.821,6374483.37,2004,Odgers
HV279,347280.86,6372389.31,2004,Odgers
HV281,337852.74,6382765.65,2004,Odgers
HV282,342155.594,6370587.76,2004,Odgers
HV284,340256.575,6380086.29,2004,Odgers
HV285,349775.691,6375984,2004,Odgers
HV286,343928.106,6377482.98,2004,Odgers
HV287,344352.913,6374783.62,2004,Odgers
HV288,347331.766,6378885.56,2004,Odgers
HV289,343660.944,6370292.23,2004,Odgers
HV290,337379.207,6378688.78,2004,Odgers
HV292,338330.603,6372088.74,2004,Odgers
HV293,338093.295,6369984.28,2004,Odgers
HV294,340762.55,6375783.55,2004,Odgers
HV295,347912.661,6375483.18,2004,Odgers
HV296,343362.655,6381598.54,2004,Odgers
HV297,339454.204,6372884.46,2004,Odgers
HV298,342509.756,6380087.88,2004,Odgers
HV300,349859.414,6373982.42,2004,Odgers
