X_REF,Y_REF,elevation,yield,ECs,ECd
874695.246,6550044.78,125.556507,4.1766939,7.11531853,7.30383827
874705.246,6550044.78,125.430144,4.45826644,7.57012818,7.61431478
874715.246,6550044.78,125.315263,4.27276005,8.25880579,7.29675698
874725.246,6550044.78,125.202896,5.06315598,7.9985478,6.47248425
874735.246,6550044.78,125.064633,7.03987208,7.80199913,6.62347396
874745.246,6550044.78,124.959757,8.78433481,8.43373724,5.47307163
874755.246,6550044.78,124.885766,9.65320515,9.15930223,6.48712861
874765.246,6550044.78,124.829896,9.57044783,9.16205043,7.68876367
874775.246,6550044.78,124.734722,9.52500075,9.25459329,8.66281736
874785.246,6550044.78,124.657895,10.1117691,9.89975491,9.16452452
874795.246,6550044.78,124.623286,10.6345698,10.1236068,9.78196124
874805.246,6550044.78,124.568814,10.5274907,9.93993021,9.68782556
874385.246,6550034.78,127.313536,2.72179067,6.89550672,6.95123958
874395.246,6550034.78,127.399755,2.66466941,6.33531794,6.5167123
874405.246,6550034.78,127.416009,2.56551695,5.751381,6.2195652
874415.246,6550034.78,127.50407,2.74436577,5.85572608,6.08654136
874425.246,6550034.78,127.586061,3.407129,5.94832698,6.07365157
874435.246,6550034.78,127.573637,3.83297015,5.67647249,5.98125253
874445.246,6550034.78,127.484197,3.94275611,5.58665099,6.12690666
874455.246,6550034.78,127.393209,3.87819562,5.73977494,6.0549735
874465.246,6550034.78,127.287134,3.74836596,5.58972449,6.19448884
874475.246,6550034.78,127.151108,3.77443235,5.71486114,6.71155052
874485.246,6550034.78,127.002757,3.55533752,6.15527846,7.06554391
874495.246,6550034.78,126.899549,3.32826118,6.71181899,7.07042082
874505.246,6550034.78,126.808094,2.99498733,6.94137582,6.8731327
874515.246,6550034.78,126.734458,3.16362968,7.12115549,6.92335169
874525.246,6550034.78,126.692583,3.13892379,7.03325771,7.06596786
874535.246,6550034.78,126.660844,3.24715751,7.04480172,7.22350289
874545.246,6550034.78,126.637211,3.41787837,7.50950837,7.21635516
874555.246,6550034.78,126.604128,3.47446323,7.49757774,7.19114207
874565.246,6550034.78,126.529202,3.22931487,6.82157238,6.84815998
874575.246,6550034.78,126.443503,2.72181789,6.61976586,6.50987334
874585.246,6550034.78,126.371772,2.71743929,6.90420054,6.65993683
874595.246,6550034.78,126.280507,1.91849303,7.47362384,7.12065703
874605.246,6550034.78,126.203879,2.40355766,7.31143821,7.62322875
874615.246,6550034.78,126.16052,4.05739037,7.89587128,8.11805018
874625.246,6550034.78,126.108408,4.26870285,8.57542024,8.63280948
874635.246,6550034.78,126.015218,3.94358418,8.37247885,8.14235948
874645.246,6550034.78,125.977952,4.0082711,7.59013972,7.51724715
874655.246,6550034.78,125.932162,3.8929608,6.71242308,6.85295537
874665.246,6550034.78,125.837018,3.83235693,6.19864054,6.398669
874675.246,6550034.78,125.701096,4.0762604,6.27478989,6.65354636
874685.246,6550034.78,125.556955,3.94508303,6.93187265,6.79882634
874695.246,6550034.78,125.420513,4.03485353,7.16479894,7.20986336
874705.246,6550034.78,125.322651,4.45924737,7.00567125,7.74246413
874715.246,6550034.78,125.250568,5.06300409,7.73194154,7.88080456
874725.246,6550034.78,125.181861,6.38882263,8.13739415,7.05537685
874735.246,6550034.78,125.064633,7.9119953,8.36235428,8.76003587
874745.246,6550034.78,124.991506,9.28044966,8.49179158,8.6713978
874755.246,6550034.78,124.926223,9.60265862,8.8009529,8.39973368
874765.246,6550034.78,124.862075,9.43041402,9.17341842,7.60259776
874775.246,6550034.78,124.7794,10.0393262,8.92119584,8.1906233
874785.246,6550034.78,124.703676,10.5884099,9.15270991,8.33797182
874795.246,6550034.78,124.638469,11.1199412,9.19895601,9.68559761
874805.246,6550034.78,124.565466,11.1467726,9.44060437,9.57868196
874815.246,6550034.78,124.520156,10.122392,9.70052492,9.15307602
874825.246,6550034.78,124.482219,8.53495428,9.93118692,9.30172624
874835.246,6550034.78,124.424209,6.72048282,10.3453796,9.88432333
874845.246,6550034.78,124.392755,5.09923231,11.4853235,10.7846087
874855.246,6550034.78,124.417293,4.45643893,12.6677577,11.4635221
874385.246,6550024.78,127.325948,2.83201933,6.88434505,6.65461101
874395.246,6550024.78,127.432264,2.83700807,6.48777736,6.37153236
874405.246,6550024.78,127.484423,2.78172155,6.13530628,6.26024925
874415.246,6550024.78,127.560083,3.00684092,6.00180346,6.18378164
874425.246,6550024.78,127.577929,3.4726917,5.73943056,6.23644308
874435.246,6550024.78,127.525977,3.84829426,5.45509481,6.29087393
874445.246,6550024.78,127.427749,3.87431937,6.10208185,6.49576223
874455.246,6550024.78,127.334072,3.8266127,6.18260683,6.22454284
874465.246,6550024.78,127.232986,3.7983623,5.88166568,6.14248879
874475.246,6550024.78,127.114801,3.80981259,6.33189779,6.71067807
874485.246,6550024.78,127.009519,3.64946288,6.93818352,7.20661965
874495.246,6550024.78,126.918926,3.4122094,7.10245146,7.23789197
874505.246,6550024.78,126.819806,3.23484172,7.24636526,7.14869627
874515.246,6550024.78,126.728379,3.4323323,7.25535633,7.09897211
874525.246,6550024.78,126.649365,3.5481275,7.07423988,7.17935826
874535.246,6550024.78,126.591302,3.49914971,7.04867743,7.34059572
874545.246,6550024.78,126.5517,3.58049121,7.39142098,7.54496158
874555.246,6550024.78,126.484437,3.57080121,7.34507485,7.63902517
874565.246,6550024.78,126.395155,3.44223166,6.73642925,7.26770092
874575.246,6550024.78,126.331081,3.74608015,6.63189112,6.74472016
874585.246,6550024.78,126.259382,3.34728644,6.83481908,6.89130175
874595.246,6550024.78,126.159172,3.25242216,7.25238224,7.20107269
874605.246,6550024.78,126.077416,3.41962194,7.38683971,8.00414874
874615.246,6550024.78,126.014769,3.69004997,7.51769819,8.6855437
874625.246,6550024.78,125.987604,3.86360235,8.45577805,8.79233219
874635.246,6550024.78,125.929693,2.47601398,8.33472065,8.07085964
874645.246,6550024.78,125.889971,2.93870791,7.0559413,7.09613309
874655.246,6550024.78,125.853845,3.38302405,6.04100265,6.74310162
874665.246,6550024.78,125.780935,3.32523384,6.04396347,6.72646671
874675.246,6550024.78,125.68966,3.97227906,6.17161158,6.82696355
874685.246,6550024.78,125.552025,4.20843145,6.31773021,6.29345371
874695.246,6550024.78,125.417377,4.32901486,6.92141342,6.70893352
874705.246,6550024.78,125.310561,4.41531862,7.46063104,8.22353364
874715.246,6550024.78,125.229305,5.05480866,8.16388371,8.85799109
874725.246,6550024.78,125.133531,6.73656398,9.03368167,8.33047102
874735.246,6550024.78,125.031309,9.2393358,9.5865397,9.29809927
874745.246,6550024.78,124.965793,10.0139588,8.99222217,9.1257492
874755.246,6550024.78,124.922647,9.71664117,9.06816565,9.58481428
874765.246,6550024.78,124.870121,9.0554791,9.2056737,8.50173279
874775.246,6550024.78,124.801072,9.41025451,9.14228176,8.10839545
874785.246,6550024.78,124.741647,10.3281172,8.95766867,8.51083451
874795.246,6550024.78,124.680896,10.9189521,8.85994007,9.45505955
874805.246,6550024.78,124.597165,11.1866377,9.24330957,9.64789735
874815.246,6550024.78,124.512345,10.7774932,9.50929746,9.31187065
874825.246,6550024.78,124.438933,9.99654967,9.84703111,9.15307602
874835.246,6550024.78,124.399224,8.98548053,9.95495085,9.56241203
874845.246,6550024.78,124.367104,8.18325506,10.761662,10.4563558
874855.246,6550024.78,124.382271,6.54099961,12.4903956,11.4127369
874865.246,6550024.78,124.395878,2.90876909,12.3716801,12.1207638
874875.246,6550024.78,124.394986,2.28729524,10.1573746,11.2742346
874885.246,6550024.78,124.422424,3.25277995,9.84132149,9.86940926
874895.246,6550024.78,124.401678,2.87252088,10.1774043,10.264281
874905.246,6550024.78,124.37045,1.85100734,9.36360157,10.5889394
874385.246,6550014.78,127.347388,2.9920836,6.71114784,6.40968418
874395.246,6550014.78,127.455068,2.73581669,6.37178723,6.39681366
874405.246,6550014.78,127.498198,2.61441405,6.30441386,6.28728915
